change_SC_status, 4249.867
change_SC_status, 4190.419916999999
change_SC_status, 4208.445249999999
change_SC_status, 4187.451875000001
change_SC_status, 4226.1835
4221.13025
4197.927083999999
4232.0939579999995
4194.886333
8207.196375
4190.317290999999
4251.461625
4230.697042
4187.134208000003
8212.211209000001
4264.788333000004
4194.532417000002
4212.8794999999955
4223.137708000002
